,author,comment,published_at,Number_of_likes
0,@Shorts_feed_10_M,Fuuny 🎉😂❤🎉😂😂❤,2024-10-19T06:30:10Z,2
1,@Shorts_feed_10_M,Wow❤😂🎉😂❤❤ sandar शॉर्ट्स 🎉😂❤❤❤,2024-10-19T06:29:55Z,3
2,@MachineWow,The most normal short in India,2024-10-14T00:51:37Z,1
3,@tech.machine2040,The most normal short in India,2024-10-14T00:51:13Z,1
4,@DungMinTV,nice,2024-10-11T10:32:00Z,1
5,@PeesomeHumbert,r/arabfunny,2024-10-03T01:01:36Z,0
6,@CR7R-ur7,Thank you so much 50 subscribers,2024-10-01T14:00:15Z,0
7,@Kids54645,Nice,2024-09-27T06:42:59Z,0
8,@smyclips524,It is really fake,2024-09-26T16:32:40Z,0
9,@RajpalKumar-84048,https://youtube.com/shorts/qJN5zguSFJA?si=kRr6VIBRegLArcfl,2024-09-16T14:06:00Z,0
10,@Funnyremix15,Superr sir great ❤❤❤❤,2024-09-13T16:47:46Z,0
11,@Himanshuthakur24898,❤❤,2024-09-11T16:38:54Z,0
12,@Usuegsjhegeu,"Ohio
😂😂😂😂",2024-09-11T14:10:33Z,0
13,@ChandBhaiNsp,Very dangerous 😱,2024-09-07T07:22:14Z,0
14,@Arnavliberty,❤❤❤❤❤❤❤❤❤,2024-08-25T08:38:44Z,0
15,@mitran5701,Jj🎉🎉,2024-08-10T14:27:44Z,1
16,@Imran-ri9xi,"K gsjj Daz😢🎉😅😂😅😂

Ok drew iid few qksiu",2024-08-03T06:46:59Z,1
17,@ernestc3050,Don't believe me try to search,2024-07-27T15:41:55Z,1
18,@ernestc3050,Video from China but Why is in your Channel😡,2024-07-27T15:41:22Z,2
19,@TheRobloxgamer123official,I don't understand this video someone please help me,2024-07-27T01:56:21Z,1
20,@AbdullahJouiya-,Was drunk while  making this video,2024-07-25T07:07:32Z,1
21,@protelprotel9148,Gdhdg yfhuft udhhdu hrh hrhhrhffdud,2024-07-13T11:42:43Z,1
22,@mohmedabomaka9299,جحخعغفقثصضطكمالسشدوةؤؤءذ436161331313313333131313313131331322333313313331333131331631346616226616,2024-07-09T22:32:51Z,1
23,@GloryNdubueze-v9q,It is not only😂😂😂😂,2024-06-23T15:43:26Z,2
24,@trisi-d7r,Fgdharmawan ydvias,2024-06-23T07:42:34Z,1
25,@Craz-Jasim-099,https://www.youtube.com/@Craz-Jasim-099,2024-06-19T13:18:37Z,1
26,@estheronochie8351,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤BMW x6,2024-06-18T10:03:16Z,1
27,@randybutternub031,More foolish CCP propaganda!,2024-06-16T01:25:53Z,1
28,@messaoudiismail-ol8ot,يلكدبين,2024-06-15T18:27:08Z,1
29,@shamsadvlogs443,😂,2024-06-10T07:05:03Z,2
30,@edwardyeressian4900,"Ինչ հաճույք էք զգում ջարդել փշրել, սպանել պատկերելու։",2024-06-08T09:28:50Z,0
31,@Мирзо-ф6з,не может бьт,2024-06-07T07:19:05Z,0
32,@RodellSantos,Welcome 2 ohio,2024-05-29T10:20:25Z,0
33,@ElliotSagna,😂,2024-05-26T01:28:39Z,0
34,@yanitee36,Very normal and 2d,2024-05-24T08:16:53Z,0
35,@Knowledgeoftechnology11,https://youtube.com/@knowledgeoftechnology11?si=eSzryRqcKa9X9hoB,2024-05-17T15:14:29Z,0
36,@yondhalink,impossible,2024-04-28T09:35:03Z,0
37,@sntvkannada,"👌👌

https://youtube.com/shorts/ptqWWU9as0U?feature=share",2024-04-25T08:41:28Z,0
38,@Yeeamaxis,This is so braunrot ❌🧠,2024-04-20T18:27:46Z,0
39,@activetechkaran,Superbbbbbbb bro ❤❤❤❤🎉🎉🎉🎉,2024-04-17T05:56:08Z,0
40,@aristocrat_exe,This video gave me brain cancer.,2024-04-06T16:41:20Z,1
41,@sampatidevi3172,Technology in Ohio 💀💀,2024-04-03T09:56:12Z,0
